,Unnamed: 0,Date,NumRides,TotalMinutes,MinCategorize
738,738,6/11/2016,321,12350,10000 to 14999
739,739,6/12/2014,1175,17084,15000 to 24999
740,740,6/12/2015,1276,21243,15000 to 24999
741,741,6/12/2016,323,7677,7500 to 9999
742,742,6/13/2014,1163,28912,25000 to 49999
743,743,6/13/2015,430,18727,15000 to 24999
744,744,6/13/2016,1313,15870,15000 to 24999
745,745,6/14/2014,440,17467,15000 to 24999
746,746,6/14/2015,269,13603,10000 to 14999
747,747,6/14/2016,1295,14592,10000 to 14999
748,748,6/15/2014,390,15943,15000 to 24999
749,749,6/15/2015,1327,14021,10000 to 14999
750,750,6/15/2016,1249,15755,15000 to 24999
751,751,6/16/2014,1269,18625,15000 to 24999
752,752,6/16/2015,1409,15781,15000 to 24999
753,753,6/16/2016,1271,13975,10000 to 14999
754,754,6/17/2014,1216,20199,15000 to 24999
755,755,6/17/2015,1353,17444,15000 to 24999
756,756,6/17/2016,1111,16824,15000 to 24999
757,757,6/18/2014,1259,19648,15000 to 24999
758,758,6/18/2015,1352,23799,15000 to 24999
759,759,6/18/2016,337,14611,10000 to 14999
760,760,6/19/2014,1237,19747,15000 to 24999
761,761,6/19/2015,1243,19959,15000 to 24999
762,762,6/19/2016,282,10719,10000 to 14999
763,763,6/2/2014,1291,18730,15000 to 24999
764,764,6/2/2015,1390,20184,15000 to 24999
765,765,6/2/2016,1262,13390,10000 to 14999
766,766,6/20/2014,1151,20128,15000 to 24999
767,767,6/20/2015,411,34209,25000 to 49999
768,768,6/20/2016,1268,13495,10000 to 14999
769,769,6/21/2014,361,11543,10000 to 14999
770,770,6/21/2015,298,12746,10000 to 14999
771,771,6/21/2016,1333,14082,10000 to 14999
772,772,6/22/2014,460,22377,15000 to 24999
773,773,6/22/2015,1295,14277,10000 to 14999
774,774,6/22/2016,1245,13748,10000 to 14999
775,775,6/23/2014,1188,19559,15000 to 24999
776,776,6/23/2015,1392,17277,15000 to 24999
777,777,6/23/2016,1253,15094,15000 to 24999
778,778,6/24/2014,1334,17260,15000 to 24999
779,779,6/24/2015,1335,16330,15000 to 24999
780,780,6/24/2016,1124,20199,15000 to 24999
781,781,6/25/2014,1225,17513,15000 to 24999
782,782,6/25/2015,1391,23803,15000 to 24999
783,783,6/25/2016,375,14236,10000 to 14999
784,784,6/26/2014,1294,19202,15000 to 24999
785,785,6/26/2015,1319,24185,15000 to 24999
786,786,6/26/2016,288,11565,10000 to 14999
787,787,6/27/2014,1137,25110,25000 to 49999
788,788,6/27/2015,466,14971,10000 to 14999
789,789,6/27/2016,1282,16120,15000 to 24999
790,790,6/28/2014,495,17203,15000 to 24999
791,791,6/28/2015,407,55256,50000 to 99999
792,792,6/28/2016,1288,14561,10000 to 14999
793,793,6/29/2014,414,18122,15000 to 24999
794,794,6/29/2015,1237,17045,15000 to 24999
795,795,6/29/2016,1185,13394,10000 to 14999
796,796,6/3/2014,1324,20585,15000 to 24999
797,797,6/3/2015,1348,18113,15000 to 24999
798,798,6/3/2016,1145,14732,10000 to 14999
799,799,6/30/2014,1248,17769,15000 to 24999
800,800,6/30/2015,1281,13693,10000 to 14999
801,801,6/30/2016,1180,15653,15000 to 24999
802,802,6/4/2014,1298,24727,15000 to 24999
803,803,6/4/2015,1414,19063,15000 to 24999
804,804,6/4/2016,353,10540,10000 to 14999
805,805,6/5/2014,1219,18844,15000 to 24999
806,806,6/5/2015,1270,20101,15000 to 24999
807,807,6/5/2016,258,9737,7500 to 9999
808,808,6/6/2014,1161,16071,15000 to 24999
809,809,6/6/2015,339,16209,15000 to 24999
810,810,6/6/2016,1330,12567,10000 to 14999
811,811,6/7/2014,437,19212,15000 to 24999
812,812,6/7/2015,385,16638,15000 to 24999
813,813,6/7/2016,1283,12554,10000 to 14999
814,814,6/8/2014,498,16388,15000 to 24999
815,815,6/8/2015,1270,14912,10000 to 14999
816,816,6/8/2016,1255,15895,15000 to 24999
817,817,6/9/2014,1294,14184,10000 to 14999
818,818,6/9/2015,1383,17231,15000 to 24999
819,819,6/9/2016,1264,13170,10000 to 14999
820,820,7/1/2014,1211,19605,15000 to 24999
821,821,7/1/2015,1205,23961,15000 to 24999
822,822,7/1/2016,968,12144,10000 to 14999
823,823,7/10/2014,1224,14622,10000 to 14999
824,824,7/10/2015,1244,39121,25000 to 49999
825,825,7/10/2016,331,11097,10000 to 14999
826,826,7/11/2014,1076,17291,15000 to 24999
827,827,7/11/2015,495,24396,15000 to 24999
828,828,7/11/2016,1168,15525,15000 to 24999
829,829,7/12/2014,445,25608,25000 to 49999
830,830,7/12/2015,379,18399,15000 to 24999
831,831,7/12/2016,1188,13955,10000 to 14999
832,832,7/13/2014,408,23836,15000 to 24999
833,833,7/13/2015,1345,16968,15000 to 24999
834,834,7/13/2016,1210,13807,10000 to 14999
835,835,7/14/2014,1220,14757,10000 to 14999
836,836,7/14/2015,1358,14220,10000 to 14999
837,837,7/14/2016,1212,13780,10000 to 14999
838,838,7/15/2014,1300,27204,25000 to 49999
839,839,7/15/2015,1384,17019,15000 to 24999
840,840,7/15/2016,1046,14019,10000 to 14999
841,841,7/16/2014,1311,16440,15000 to 24999
842,842,7/16/2015,1382,17872,15000 to 24999
843,843,7/16/2016,271,9599,7500 to 9999
844,844,7/17/2014,1299,14958,10000 to 14999
845,845,7/17/2015,1249,17902,15000 to 24999
846,846,7/17/2016,196,5128,4000 to 7499
847,847,7/18/2014,1160,20499,15000 to 24999
848,848,7/18/2015,368,11456,10000 to 14999
849,849,7/18/2016,1151,14704,10000 to 14999
850,850,7/19/2014,424,17644,15000 to 24999
851,851,7/19/2015,402,18317,15000 to 24999
852,852,7/19/2016,1155,17067,15000 to 24999
853,853,7/2/2014,1245,18370,15000 to 24999
854,854,7/2/2015,1019,15414,15000 to 24999
855,855,7/2/2016,303,10492,10000 to 14999
856,856,7/20/2014,402,17986,15000 to 24999
857,857,7/20/2015,1386,15016,15000 to 24999
858,858,7/20/2016,1247,15032,15000 to 24999
859,859,7/21/2014,1224,16071,15000 to 24999
860,860,7/21/2015,1349,19182,15000 to 24999
861,861,7/21/2016,1196,13432,10000 to 14999
862,862,7/22/2014,1326,18361,15000 to 24999
863,863,7/22/2015,1307,18457,15000 to 24999
864,864,7/22/2016,1023,13450,10000 to 14999
865,865,7/23/2014,1366,18458,15000 to 24999
866,866,7/23/2015,1320,15220,15000 to 24999
867,867,7/23/2016,270,7340,4000 to 7499
868,868,7/24/2014,1299,16702,15000 to 24999
869,869,7/24/2015,1254,16431,15000 to 24999
870,870,7/24/2016,242,7789,7500 to 9999
871,871,7/25/2014,1204,22171,15000 to 24999
872,872,7/25/2015,364,12582,10000 to 14999
873,873,7/25/2016,1200,14491,10000 to 14999
874,874,7/26/2014,495,20738,15000 to 24999
875,875,7/26/2015,432,13398,10000 to 14999
876,876,7/26/2016,1213,15076,15000 to 24999
877,877,7/27/2014,446,18731,15000 to 24999
878,878,7/27/2015,1363,18410,15000 to 24999
879,879,7/27/2016,1219,16786,15000 to 24999
880,880,7/28/2014,1293,18982,15000 to 24999
881,881,7/28/2015,1451,19590,15000 to 24999
882,882,7/28/2016,1166,13578,10000 to 14999
883,883,7/29/2014,1368,19525,15000 to 24999
884,884,7/29/2015,1411,16752,15000 to 24999
885,885,7/29/2016,1102,15600,15000 to 24999
886,886,7/3/2014,1026,20839,15000 to 24999
887,887,7/3/2015,439,24758,15000 to 24999
888,888,7/3/2016,222,5898,4000 to 7499
889,889,7/30/2014,1351,22745,15000 to 24999
890,890,7/30/2015,1330,14952,10000 to 14999
891,891,7/30/2016,356,15979,15000 to 24999
892,892,7/31/2014,1260,22269,15000 to 24999
893,893,7/31/2015,1240,20685,15000 to 24999
894,894,7/31/2016,311,11947,10000 to 14999
895,895,7/4/2014,391,22418,15000 to 24999
896,896,7/4/2015,449,30929,25000 to 49999
897,897,7/4/2016,316,12842,10000 to 14999
898,898,7/5/2014,382,15692,15000 to 24999
899,899,7/5/2015,288,9446,7500 to 9999
900,900,7/5/2016,952,11305,10000 to 14999
901,901,7/6/2014,365,10445,10000 to 14999
902,902,7/6/2015,1242,17584,15000 to 24999
903,903,7/6/2016,1091,12082,10000 to 14999
904,904,7/7/2014,1210,14379,10000 to 14999
905,905,7/7/2015,1359,16522,15000 to 24999
906,906,7/7/2016,1122,10581,10000 to 14999
907,907,7/8/2014,1201,15998,15000 to 24999
908,908,7/8/2015,1405,19060,15000 to 24999
909,909,7/8/2016,995,13618,10000 to 14999
910,910,7/9/2014,1347,21651,15000 to 24999
911,911,7/9/2015,1257,12350,10000 to 14999
912,912,7/9/2016,342,20002,15000 to 24999
913,913,8/1/2014,1162,17403,15000 to 24999
914,914,8/1/2015,425,17788,15000 to 24999
915,915,8/1/2016,1165,14736,10000 to 14999
916,916,8/10/2014,436,17221,15000 to 24999
917,917,8/10/2015,1284,19318,15000 to 24999
918,918,8/10/2016,1162,13243,10000 to 14999
919,919,8/11/2014,1234,16163,15000 to 24999
920,920,8/11/2015,1397,18031,15000 to 24999
921,921,8/11/2016,1166,13585,10000 to 14999
922,922,8/12/2014,1380,20361,15000 to 24999
923,923,8/12/2015,1400,19360,15000 to 24999
924,924,8/12/2016,1032,15057,15000 to 24999
925,925,8/13/2014,1247,13943,10000 to 14999
926,926,8/13/2015,1401,17846,15000 to 24999
927,927,8/13/2016,670,18817,15000 to 24999
928,928,8/14/2014,1251,17965,15000 to 24999
929,929,8/14/2015,1182,15338,15000 to 24999
930,930,8/14/2016,736,21157,15000 to 24999
931,931,8/15/2014,1179,18332,15000 to 24999
932,932,8/15/2015,451,16309,15000 to 24999
933,933,8/15/2016,1204,12542,10000 to 14999
934,934,8/16/2014,425,20358,15000 to 24999
935,935,8/16/2015,393,9790,7500 to 9999
936,936,8/16/2016,1270,16555,15000 to 24999
937,937,8/17/2014,402,16778,15000 to 24999
938,938,8/17/2015,1418,15954,15000 to 24999
939,939,8/17/2016,1253,13757,10000 to 14999
940,940,8/18/2014,1277,18625,15000 to 24999
941,941,8/18/2015,1407,14962,10000 to 14999
942,942,8/18/2016,1264,16025,15000 to 24999
943,943,8/19/2014,1279,21320,15000 to 24999
944,944,8/19/2015,1353,21085,15000 to 24999
945,945,8/19/2016,1074,13856,10000 to 14999
946,946,8/2/2014,387,10203,10000 to 14999
947,947,8/2/2015,320,18265,15000 to 24999
948,948,8/2/2016,1241,17398,15000 to 24999
949,949,8/20/2014,1327,18959,15000 to 24999
950,950,8/20/2015,1353,18566,15000 to 24999
951,951,8/20/2016,313,8347,7500 to 9999
952,952,8/21/2014,1352,28008,25000 to 49999
953,953,8/21/2015,1215,15895,15000 to 24999
954,954,8/21/2016,291,9104,7500 to 9999
955,955,8/22/2014,1235,19402,15000 to 24999
956,956,8/22/2015,421,12118,10000 to 14999
957,957,8/22/2016,1176,13463,10000 to 14999
958,958,8/23/2014,485,32318,25000 to 49999
959,959,8/23/2015,311,8141,7500 to 9999
960,960,8/23/2016,1241,12855,10000 to 14999
961,961,8/24/2014,345,20470,15000 to 24999
962,962,8/24/2015,1309,22867,15000 to 24999
963,963,8/24/2016,1242,12032,10000 to 14999
964,964,8/25/2014,1371,19081,15000 to 24999
965,965,8/25/2015,1421,16547,15000 to 24999
966,966,8/25/2016,1184,13607,10000 to 14999
967,967,8/26/2014,1513,20015,15000 to 24999
968,968,8/26/2015,1465,18959,15000 to 24999
969,969,8/26/2016,1096,15546,15000 to 24999
970,970,8/27/2014,1479,28148,25000 to 49999
971,971,8/27/2015,1443,19509,15000 to 24999
972,972,8/27/2016,291,7251,4000 to 7499
973,973,8/28/2014,1340,16962,15000 to 24999
974,974,8/28/2015,1220,15472,15000 to 24999
975,975,8/28/2016,285,7139,4000 to 7499
976,976,8/29/2013,748,19464,15000 to 24999
977,977,8/29/2014,1252,23829,15000 to 24999
978,978,8/29/2015,342,13127,10000 to 14999
979,979,8/29/2016,1196,12704,10000 to 14999
980,980,8/3/2014,365,11736,10000 to 14999
981,981,8/3/2015,1283,16660,15000 to 24999
982,982,8/3/2016,1231,13942,10000 to 14999
983,983,8/30/2013,714,32167,25000 to 49999
984,984,8/30/2014,481,23530,15000 to 24999
985,985,8/30/2015,331,12819,10000 to 14999
986,986,8/30/2016,1213,11975,10000 to 14999
987,987,8/31/2013,640,39041,25000 to 49999
988,988,8/31/2014,473,28166,25000 to 49999
989,989,8/31/2015,1369,15347,15000 to 24999
990,990,8/31/2016,1176,15361,15000 to 24999
991,991,8/4/2014,1169,15458,15000 to 24999
992,992,8/4/2015,1360,18374,15000 to 24999
993,993,8/4/2016,1140,13114,10000 to 14999
994,994,8/5/2014,1313,19295,15000 to 24999
995,995,8/5/2015,1341,20277,15000 to 24999
996,996,8/5/2016,967,11743,10000 to 14999
997,997,8/6/2014,1254,14861,10000 to 14999
998,998,8/6/2015,1299,17727,15000 to 24999
999,999,8/6/2016,300,9596,7500 to 9999
1000,1000,8/7/2014,1256,19048,15000 to 24999
1001,1001,8/7/2015,1197,25870,25000 to 49999
1002,1002,8/7/2016,275,11687,10000 to 14999
1003,1003,8/8/2014,1170,19655,15000 to 24999
1004,1004,8/8/2015,432,13892,10000 to 14999
1005,1005,8/8/2016,1268,12968,10000 to 14999
1006,1006,8/9/2014,376,10245,10000 to 14999
1007,1007,8/9/2015,361,11919,10000 to 14999
1008,1008,8/9/2016,1233,13970,10000 to 14999
1009,1009,9/1/2013,706,40076,25000 to 49999
1010,1010,9/1/2014,368,16434,15000 to 24999
1011,1011,9/1/2015,1389,15267,15000 to 24999
1012,1012,9/10/2013,892,13191,10000 to 14999
1013,1013,9/10/2014,1351,18901,15000 to 24999
1014,1014,9/10/2015,1357,16877,15000 to 24999
1015,1015,9/11/2013,880,15567,15000 to 24999
1016,1016,9/11/2014,1381,22458,15000 to 24999
1017,1017,9/11/2015,1165,12988,10000 to 14999
1018,1018,9/12/2013,942,24876,15000 to 24999
1019,1019,9/12/2014,1308,29865,25000 to 49999
1020,1020,9/12/2015,360,10251,10000 to 14999
1021,1021,9/13/2013,981,25889,25000 to 49999
1022,1022,9/13/2014,556,18232,15000 to 24999
1023,1023,9/13/2015,301,8215,7500 to 9999
1024,1024,9/14/2013,702,34699,25000 to 49999
1025,1025,9/14/2014,435,15092,15000 to 24999
1026,1026,9/14/2015,1177,13898,10000 to 14999
1027,1027,9/15/2013,624,31917,25000 to 49999
1028,1028,9/15/2014,1516,26541,25000 to 49999
1029,1029,9/15/2015,1423,19377,15000 to 24999
1030,1030,9/16/2013,914,16595,15000 to 24999
1031,1031,9/16/2014,1438,27686,25000 to 49999
1032,1032,9/16/2015,1239,15314,15000 to 24999
1033,1033,9/17/2013,1073,19346,15000 to 24999
1034,1034,9/17/2014,1429,19825,15000 to 24999
1035,1035,9/17/2015,1312,15441,15000 to 24999
1036,1036,9/18/2013,1110,17695,15000 to 24999
1037,1037,9/18/2014,1186,14879,10000 to 14999
1038,1038,9/18/2015,1272,19401,15000 to 24999
1039,1039,9/19/2013,1044,15934,15000 to 24999
1040,1040,9/19/2014,1245,16067,15000 to 24999
1041,1041,9/19/2015,402,13705,10000 to 14999
1042,1042,9/2/2013,661,25727,25000 to 49999
1043,1043,9/2/2014,1319,17268,15000 to 24999
1044,1044,9/2/2015,1313,14705,10000 to 14999
1045,1045,9/20/2013,1102,18398,15000 to 24999
1046,1046,9/20/2014,427,11569,10000 to 14999
1047,1047,9/20/2015,325,10337,10000 to 14999
1048,1048,9/21/2013,388,11746,10000 to 14999
1049,1049,9/21/2014,313,11756,10000 to 14999
1050,1050,9/21/2015,1343,15839,15000 to 24999
1051,1051,9/22/2013,584,27215,25000 to 49999
1052,1052,9/22/2014,1353,19519,15000 to 24999
1053,1053,9/22/2015,1355,14662,10000 to 14999
1054,1054,9/23/2013,1050,27942,25000 to 49999
1055,1055,9/23/2014,1362,16689,15000 to 24999
1056,1056,9/23/2015,1230,16511,15000 to 24999
1057,1057,9/24/2013,1075,18391,15000 to 24999
1058,1058,9/24/2014,1301,20130,15000 to 24999
1059,1059,9/24/2015,1342,18238,15000 to 24999
1060,1060,9/25/2013,1264,23546,15000 to 24999
1061,1061,9/25/2014,1177,17673,15000 to 24999
1062,1062,9/25/2015,1280,20427,15000 to 24999
1063,1063,9/26/2013,1082,21773,15000 to 24999
1064,1064,9/26/2014,1242,18821,15000 to 24999
1065,1065,9/26/2015,364,17911,15000 to 24999
1066,1066,9/27/2013,1101,23683,15000 to 24999
1067,1067,9/27/2014,464,11307,10000 to 14999
1068,1068,9/27/2015,349,14680,10000 to 14999
1069,1069,9/28/2013,612,19800,15000 to 24999
1070,1070,9/28/2014,376,23302,15000 to 24999
1071,1071,9/28/2015,1304,15700,15000 to 24999
1072,1072,9/29/2013,517,15182,15000 to 24999
1073,1073,9/29/2014,1335,15652,15000 to 24999
1074,1074,9/29/2015,1408,16809,15000 to 24999
1075,1075,9/3/2013,597,17351,15000 to 24999
1076,1076,9/3/2014,1404,15637,15000 to 24999
1077,1077,9/3/2015,1294,16957,15000 to 24999
1078,1078,9/30/2013,976,19281,15000 to 24999
1079,1079,9/30/2014,1304,15149,15000 to 24999
1080,1080,9/30/2015,1203,12102,10000 to 14999
1081,1081,9/4/2013,606,17895,15000 to 24999
1082,1082,9/4/2014,1389,16094,15000 to 24999
1083,1083,9/4/2015,1129,13542,10000 to 14999
1084,1084,9/5/2013,677,16070,15000 to 24999
1085,1085,9/5/2014,1265,19160,15000 to 24999
1086,1086,9/5/2015,386,12370,10000 to 14999
1087,1087,9/6/2013,814,22249,15000 to 24999
1088,1088,9/6/2014,435,13037,10000 to 14999
1089,1089,9/6/2015,318,12304,10000 to 14999
1090,1090,9/7/2013,796,32397,25000 to 49999
1091,1091,9/7/2014,336,14917,10000 to 14999
1092,1092,9/7/2015,318,12101,10000 to 14999
1093,1093,9/8/2013,704,30955,25000 to 49999
1094,1094,9/8/2014,1305,26584,25000 to 49999
1095,1095,9/8/2015,1333,15474,15000 to 24999
1096,1096,9/9/2013,769,18543,15000 to 24999
1097,1097,9/9/2014,1362,22408,15000 to 24999
1098,1098,9/9/2015,1405,18680,15000 to 24999
