,Date,MeanTemperatureF,MeanHumidity ,PrecipitationIn ,CloudCover ,Events,zip,CloudDesc,PrecipDesc
0,8/29/2013,72,69,0.0,4,,95113,Cloudy,None
1,8/30/2013,76,65,0.0,2,,95113,Little Cloudy,None
2,8/31/2013,71,66,0.0,0,,95113,Clear,None
3,9/1/2013,72,62,0.0,2,,95113,Little Cloudy,None
4,9/2/2013,73,68,0.001,5,Rain,95113,Very Cloudy,None
5,9/3/2013,70,58,0.0,1,,95113,Clear,None
6,9/4/2013,69,62,0.0,1,,95113,Clear,None
7,9/5/2013,68,60,0.0,1,,95113,Clear,None
8,9/6/2013,72,54,0.0,0,,95113,Clear,None
9,9/7/2013,78,45,0.0,0,,95113,Clear,None
10,9/8/2013,74,59,0.0,0,,95113,Clear,None
11,9/9/2013,75,60,0.0,1,,95113,Clear,None
12,9/10/2013,70,65,0.0,2,,95113,Little Cloudy,None
13,9/11/2013,68,65,0.0,4,,95113,Cloudy,None
14,9/12/2013,69,71,0.0,5,,95113,Very Cloudy,None
15,9/13/2013,67,72,0.0,4,,95113,Cloudy,None
16,9/14/2013,66,72,0.0,4,,95113,Cloudy,None
17,9/15/2013,68,68,0.0,3,,95113,Cloudy,None
18,9/16/2013,71,68,0.0,4,,95113,Cloudy,None
19,9/17/2013,66,58,0.001,1,,95113,Clear,None
20,9/18/2013,69,54,0.0,0,,95113,Clear,None
21,9/19/2013,71,48,0.0,0,,95113,Clear,None
22,9/20/2013,66,65,0.0,2,,95113,Little Cloudy,None
23,9/21/2013,64,79,0.66,6,Rain,95113,Very Cloudy,Medium
24,9/22/2013,63,69,0.0,2,,95113,Little Cloudy,None
25,9/23/2013,67,63,0.0,0,,95113,Clear,None
26,9/24/2013,67,66,0.0,1,,95113,Clear,None
27,9/25/2013,63,57,0.0,1,,95113,Clear,None
28,9/26/2013,63,50,0.0,0,,95113,Clear,None
29,9/27/2013,64,50,0.0,0,,95113,Clear,None
30,9/28/2013,67,53,0.0,1,,95113,Clear,None
31,9/29/2013,66,70,0.0,2,,95113,Little Cloudy,None
32,9/30/2013,67,74,0.0,3,,95113,Cloudy,None
33,10/1/2013,63,58,0.0,3,,95113,Cloudy,None
34,10/2/2013,64,57,0.0,1,,95113,Clear,None
35,10/3/2013,62,46,0.0,0,,95113,Clear,None
36,10/4/2013,70,25,0.0,0,,95113,Clear,None
37,10/5/2013,67,31,0.0,0,,95113,Clear,None
38,10/6/2013,67,32,0.0,4,,95113,Cloudy,None
39,10/7/2013,68,38,0.0,2,,95113,Little Cloudy,None
40,10/8/2013,63,56,0.0,2,,95113,Little Cloudy,None
41,10/9/2013,59,66,0.0,2,,95113,Little Cloudy,None
42,10/10/2013,62,59,0.0,1,,95113,Clear,None
43,10/11/2013,58,73,0.0,0,,95113,Clear,None
44,10/12/2013,59,68,0.0,1,,95113,Clear,None
45,10/13/2013,60,64,0.0,1,,95113,Clear,None
46,10/14/2013,63,50,0.0,0,,95113,Clear,None
47,10/15/2013,63,43,0.0,0,,95113,Clear,None
48,10/16/2013,66,39,0.0,1,,95113,Clear,None
49,10/17/2013,65,39,0.0,0,,95113,Clear,None
50,10/18/2013,64,54,0.0,0,,95113,Clear,None
51,10/19/2013,64,57,0.0,0,,95113,Clear,None
52,10/20/2013,62,67,0.0,3,,95113,Cloudy,None
53,10/21/2013,61,74,0.0,3,,95113,Cloudy,None
54,10/22/2013,62,72,0.0,4,,95113,Cloudy,None
55,10/23/2013,60,82,0.0,5,,95113,Very Cloudy,None
56,10/24/2013,55,84,0.0,5,,95113,Very Cloudy,None
57,10/25/2013,58,69,0.0,5,,95113,Very Cloudy,None
58,10/26/2013,61,66,0.0,1,,95113,Clear,None
59,10/27/2013,57,78,0.0,5,,95113,Very Cloudy,None
60,10/28/2013,59,60,0.0,6,,95113,Very Cloudy,None
61,10/29/2013,56,71,0.0,4,,95113,Cloudy,None
62,10/30/2013,56,67,0.0,1,,95113,Clear,None
63,10/31/2013,58,62,0.0,0,,95113,Clear,None
64,11/1/2013,61,52,0.0,0,,95113,Clear,None
65,11/2/2013,57,62,0.0,2,,95113,Little Cloudy,None
66,11/3/2013,55,59,0.0,4,,95113,Cloudy,None
67,11/4/2013,54,53,0.0,0,,95113,Clear,None
68,11/5/2013,58,49,0.0,1,,95113,Clear,None
69,11/6/2013,60,44,0.0,4,,95113,Cloudy,None
70,11/7/2013,62,50,0.0,2,,95113,Little Cloudy,None
71,11/8/2013,58,72,0.0,2,,95113,Little Cloudy,None
72,11/9/2013,61,56,0.0,1,,95113,Clear,None
73,11/10/2013,55,76,0.0,3,Fog,95113,Cloudy,None
74,11/11/2013,59,74,0.0,7,,95113,Overcast,None
75,11/12/2013,62,61,0.0,3,,95113,Cloudy,None
76,11/13/2013,60,63,0.0,3,,95113,Cloudy,None
77,11/14/2013,57,84,0.0,6,,95113,Very Cloudy,None
78,11/15/2013,55,64,0.0,1,,95113,Clear,None
79,11/16/2013,52,66,0.0,2,,95113,Little Cloudy,None
80,11/17/2013,54,73,0.0,3,,95113,Cloudy,None
81,11/18/2013,53,72,0.0,5,,95113,Very Cloudy,None
82,11/19/2013,57,78,0.29,7,Rain,95113,Overcast,Light
83,11/20/2013,58,89,0.47,7,Rain,95113,Overcast,Light
84,11/21/2013,56,63,0.01,5,Rain,95113,Very Cloudy,None
85,11/22/2013,58,31,0.0,2,,95113,Little Cloudy,None
86,11/23/2013,53,50,0.0,0,,95113,Clear,None
87,11/24/2013,53,62,0.0,0,,95113,Clear,None
88,11/25/2013,53,64,0.0,1,,95113,Clear,None
89,11/26/2013,53,66,0.0,5,,95113,Very Cloudy,None
90,11/27/2013,54,68,0.0,4,,95113,Cloudy,None
91,11/28/2013,57,62,0.0,2,,95113,Little Cloudy,None
92,11/29/2013,57,60,0.0,0,,95113,Clear,None
93,11/30/2013,53,67,0.0,1,,95113,Clear,None
94,12/1/2013,55,65,0.0,0,,95113,Clear,None
95,12/2/2013,53,77,0.0,4,,95113,Cloudy,None
96,12/3/2013,49,70,0.001,5,Rain,95113,Very Cloudy,None
97,12/4/2013,43,53,0.0,0,,95113,Clear,None
98,12/5/2013,41,50,0.0,0,,95113,Clear,None
99,12/6/2013,42,61,0.04,5,Rain,95113,Very Cloudy,None
100,12/7/2013,42,66,0.09,2,Rain,95113,Little Cloudy,None
101,12/8/2013,39,57,0.0,2,,95113,Little Cloudy,None
102,12/9/2013,38,48,0.0,0,,95113,Clear,None
103,12/10/2013,41,55,0.0,1,,95113,Clear,None
104,12/11/2013,44,53,0.0,0,,95113,Clear,None
105,12/12/2013,44,58,0.0,1,,95113,Clear,None
106,12/13/2013,47,65,0.0,2,,95113,Little Cloudy,None
107,12/14/2013,48,63,0.0,0,,95113,Clear,None
108,12/15/2013,47,64,0.0,3,,95113,Cloudy,None
109,12/16/2013,52,57,0.0,4,,95113,Cloudy,None
110,12/17/2013,53,54,0.0,5,,95113,Very Cloudy,None
111,12/18/2013,53,68,0.0,4,,95113,Cloudy,None
112,12/19/2013,50,66,0.0,3,,95113,Cloudy,None
113,12/20/2013,48,37,0.0,1,,95113,Clear,None
114,12/21/2013,48,63,0.0,0,,95113,Clear,None
115,12/22/2013,52,63,0.0,0,,95113,Clear,None
116,12/23/2013,51,62,0.0,0,,95113,Clear,None
117,12/24/2013,54,59,0.0,1,,95113,Clear,None
118,12/25/2013,52,59,0.0,0,,95113,Clear,None
119,12/26/2013,53,57,0.0,0,,95113,Clear,None
120,12/27/2013,48,67,0.0,4,,95113,Cloudy,None
121,12/28/2013,51,59,0.0,0,,95113,Clear,None
122,12/29/2013,52,47,0.0,0,,95113,Clear,None
123,12/30/2013,50,50,0.0,3,,95113,Cloudy,None
124,12/31/2013,48,72,0.0,4,Fog,95113,Cloudy,None
125,1/1/2014,49,62,0.0,2,,95113,Little Cloudy,None
126,1/2/2014,52,57,0.0,2,,95113,Little Cloudy,None
127,1/3/2014,52,53,0.0,3,,95113,Cloudy,None
128,1/4/2014,52,57,0.0,1,,95113,Clear,None
129,1/5/2014,51,45,0.0,0,,95113,Clear,None
130,1/6/2014,50,53,0.0,5,,95113,Very Cloudy,None
131,1/7/2014,54,58,0.0,4,,95113,Cloudy,None
132,1/8/2014,54,82,0.001,7,Rain,95113,Overcast,None
133,1/9/2014,53,79,0.01,6,Rain,95113,Very Cloudy,None
134,1/10/2014,52,69,0.0,3,,95113,Cloudy,None
135,1/11/2014,51,78,0.0,4,,95113,Cloudy,None
136,1/12/2014,52,72,0.0,3,,95113,Cloudy,None
137,1/13/2014,56,48,0.0,0,,95113,Clear,None
138,1/14/2014,57,43,0.0,0,,95113,Clear,None
139,1/15/2014,55,37,0.0,0,,95113,Clear,None
140,1/16/2014,56,40,0.0,0,,95113,Clear,None
141,1/17/2014,54,42,0.0,0,,95113,Clear,None
142,1/18/2014,54,46,0.0,0,,95113,Clear,None
143,1/19/2014,53,43,0.0,1,,95113,Clear,None
144,1/20/2014,54,44,0.0,1,,95113,Clear,None
145,1/21/2014,53,47,0.0,3,,95113,Cloudy,None
146,1/22/2014,55,51,0.0,0,,95113,Clear,None
147,1/23/2014,54,52,0.0,0,,95113,Clear,None
148,1/24/2014,53,58,0.0,3,,95113,Cloudy,None
149,1/25/2014,58,50,0.0,1,,95113,Clear,None
150,1/26/2014,58,58,0.0,2,,95113,Little Cloudy,None
151,1/27/2014,55,74,0.0,7,Fog,95113,Overcast,None
152,1/28/2014,58,73,0.0,7,,95113,Overcast,None
153,1/29/2014,62,84,0.01,7,Rain,95113,Overcast,None
154,1/30/2014,56,74,0.1,6,Rain,95113,Very Cloudy,None
155,1/31/2014,52,60,0.0,3,,95113,Cloudy,None
156,2/1/2014,49,52,0.0,1,,95113,Clear,None
157,2/2/2014,48,80,0.08,5,Rain,95113,Very Cloudy,None
158,2/3/2014,48,68,0.0,3,,95113,Cloudy,None
159,2/4/2014,46,68,0.0,4,,95113,Cloudy,None
160,2/5/2014,47,64,0.01,6,Rain,95113,Very Cloudy,None
161,2/6/2014,50,86,0.61,7,Rain,95113,Overcast,Medium
162,2/7/2014,51,92,0.14,7,Rain,95113,Overcast,None
163,2/8/2014,57,79,0.02,7,Rain,95113,Overcast,None
164,2/9/2014,60,80,0.05,8,,95113,Overcast,None
165,2/10/2014,57,86,0.01,7,,95113,Overcast,None
166,2/11/2014,56,80,0.0,7,,95113,Overcast,None
167,2/12/2014,56,78,0.0,7,,95113,Overcast,None
168,2/13/2014,59,80,0.0,5,Fog,95113,Very Cloudy,None
169,2/14/2014,58,82,0.001,7,,95113,Overcast,None
170,2/15/2014,56,80,0.02,6,Rain,95113,Very Cloudy,None
171,2/16/2014,55,67,0.04,5,Rain,95113,Very Cloudy,None
172,2/17/2014,50,64,0.0,3,,95113,Cloudy,None
173,2/18/2014,54,64,0.0,5,,95113,Very Cloudy,None
174,2/19/2014,56,72,0.01,4,Rain,95113,Cloudy,None
175,2/20/2014,55,59,0.0,3,,95113,Cloudy,None
176,2/21/2014,57,54,0.0,1,,95113,Clear,None
177,2/22/2014,57,60,0.0,2,,95113,Little Cloudy,None
178,2/23/2014,57,64,0.0,3,,95113,Cloudy,None
179,2/24/2014,59,61,0.0,1,,95113,Clear,None
180,2/25/2014,55,76,0.0,4,,95113,Cloudy,None
181,2/26/2014,57,83,0.68,7,Rain,95113,Overcast,Medium
182,2/27/2014,59,66,0.01,6,Rain,95113,Very Cloudy,None
183,2/28/2014,57,78,0.97,7,Rain,95113,Overcast,Medium
184,3/1/2014,59,73,0.21,5,Rain,95113,Very Cloudy,Light
185,3/2/2014,57,71,0.02,5,Rain,95113,Very Cloudy,None
186,3/3/2014,56,82,0.17,6,Rain,95113,Very Cloudy,None
187,3/4/2014,61,78,0.0,7,,95113,Overcast,None
188,3/5/2014,63,72,0.001,7,,95113,Overcast,None
189,3/6/2014,60,69,0.02,6,Rain,95113,Very Cloudy,None
190,3/7/2014,58,68,0.0,3,,95113,Cloudy,None
191,3/8/2014,60,63,0.0,4,,95113,Cloudy,None
192,3/9/2014,69,46,0.0,5,,95113,Very Cloudy,None
193,3/10/2014,62,63,0.01,4,Rain,95113,Cloudy,None
194,3/11/2014,63,42,0.0,1,,95113,Clear,None
195,3/12/2014,64,26,0.0,0,,95113,Clear,None
196,3/13/2014,62,42,0.0,0,,95113,Clear,None
197,3/14/2014,58,56,0.0,2,,95113,Little Cloudy,None
198,3/15/2014,64,56,0.0,0,,95113,Clear,None
199,3/16/2014,65,51,0.0,2,,95113,Little Cloudy,None
200,3/17/2014,59,62,0.0,3,,95113,Cloudy,None
201,3/18/2014,58,52,0.0,0,,95113,Clear,None
202,3/19/2014,61,43,0.0,3,,95113,Cloudy,None
203,3/20/2014,62,50,0.0,4,,95113,Cloudy,None
204,3/21/2014,58,62,0.001,2,,95113,Little Cloudy,None
205,3/22/2014,59,62,0.0,1,,95113,Clear,None
206,3/23/2014,58,65,0.0,3,,95113,Cloudy,None
207,3/24/2014,61,54,0.0,0,,95113,Clear,None
208,3/25/2014,56,66,0.08,4,Rain,95113,Cloudy,None
209,3/26/2014,57,70,0.08,5,Rain,95113,Very Cloudy,None
210,3/27/2014,56,71,0.0,5,,95113,Very Cloudy,None
211,3/28/2014,61,65,0.0,5,,95113,Very Cloudy,None
212,3/29/2014,57,82,0.33,6,Rain,95113,Very Cloudy,Light
213,3/30/2014,55,71,0.01,5,Rain,95113,Very Cloudy,None
214,3/31/2014,50,76,0.42,5,Rain,95113,Very Cloudy,Light
215,4/1/2014,50,80,0.29,6,Rain,95113,Very Cloudy,Light
216,4/2/2014,52,73,0.01,2,,95113,Little Cloudy,None
217,4/3/2014,55,66,0.0,4,,95113,Cloudy,None
218,4/4/2014,55,69,0.09,6,Rain,95113,Very Cloudy,None
219,4/5/2014,59,64,0.0,3,,95113,Cloudy,None
220,4/6/2014,61,65,0.0,2,,95113,Little Cloudy,None
221,4/7/2014,68,59,0.0,0,,95113,Clear,None
222,4/8/2014,72,54,0.0,4,,95113,Cloudy,None
223,4/9/2014,65,64,0.0,4,,95113,Cloudy,None
224,4/10/2014,66,60,0.0,5,,95113,Very Cloudy,None
225,4/11/2014,62,75,0.0,6,,95113,Very Cloudy,None
226,4/12/2014,62,59,0.0,4,,95113,Cloudy,None
227,4/13/2014,65,61,0.0,3,,95113,Cloudy,None
228,4/14/2014,64,57,0.0,2,,95113,Little Cloudy,None
229,4/15/2014,59,68,0.0,3,,95113,Cloudy,None
230,4/16/2014,64,58,0.0,2,,95113,Little Cloudy,None
231,4/17/2014,63,66,0.0,3,,95113,Cloudy,None
232,4/18/2014,61,64,0.0,2,,95113,Little Cloudy,None
233,4/19/2014,60,60,0.0,2,,95113,Little Cloudy,None
234,4/20/2014,65,55,0.0,1,,95113,Clear,None
235,4/21/2014,62,53,0.0,5,,95113,Very Cloudy,None
236,4/22/2014,58,54,0.001,4,,95113,Cloudy,None
237,4/23/2014,57,59,0.0,3,,95113,Cloudy,None
238,4/24/2014,59,66,0.001,5,Rain,95113,Very Cloudy,None
239,4/25/2014,56,77,0.25,7,Rain,95113,Overcast,Light
240,4/26/2014,55,62,0.0,6,,95113,Very Cloudy,None
241,4/27/2014,59,60,0.0,5,,95113,Very Cloudy,None
242,4/28/2014,60,55,0.0,1,,95113,Clear,None
243,4/29/2014,67,48,0.0,3,,95113,Cloudy,None
244,4/30/2014,76,43,0.0,3,,95113,Cloudy,None
245,5/1/2014,75,41,0.0,3,,95113,Cloudy,None
246,5/2/2014,69,53,0.0,4,,95113,Cloudy,None
247,5/3/2014,62,69,0.0,4,,95113,Cloudy,None
248,5/4/2014,62,65,0.0,4,,95113,Cloudy,None
249,5/5/2014,60,60,0.0,4,,95113,Cloudy,None
250,5/6/2014,61,52,0.0,1,,95113,Clear,None
251,5/7/2014,59,60,0.0,4,,95113,Cloudy,None
252,5/8/2014,60,65,0.001,6,Rain,95113,Very Cloudy,None
253,5/9/2014,62,64,0.0,5,,95113,Very Cloudy,None
254,5/10/2014,60,55,0.0,1,,95113,Clear,None
255,5/11/2014,63,49,0.0,1,,95113,Clear,None
256,5/12/2014,68,36,0.0,2,,95113,Little Cloudy,None
257,5/13/2014,75,32,0.0,0,,95113,Clear,None
258,5/14/2014,76,32,0.0,2,,95113,Little Cloudy,None
259,5/15/2014,74,29,0.0,4,,95113,Cloudy,None
260,5/16/2014,67,59,0.0,4,,95113,Cloudy,None
261,5/17/2014,63,65,0.0,4,,95113,Cloudy,None
262,5/18/2014,64,60,0.0,2,,95113,Little Cloudy,None
263,5/19/2014,61,59,0.0,5,,95113,Very Cloudy,None
264,5/20/2014,63,61,0.0,5,,95113,Very Cloudy,None
265,5/21/2014,66,63,0.0,3,,95113,Cloudy,None
266,5/22/2014,66,63,0.0,5,,95113,Very Cloudy,None
267,5/23/2014,66,70,0.0,5,,95113,Very Cloudy,None
268,5/24/2014,65,70,0.0,2,,95113,Little Cloudy,None
269,5/25/2014,69,55,0.0,1,,95113,Clear,None
270,5/26/2014,68,55,0.0,0,,95113,Clear,None
271,5/27/2014,63,59,0.0,0,,95113,Clear,None
272,5/28/2014,64,49,0.0,0,,95113,Clear,None
273,5/29/2014,68,44,0.0,1,,95113,Clear,None
274,5/30/2014,61,69,0.0,2,,95113,Little Cloudy,None
275,5/31/2014,66,58,0.0,3,,95113,Cloudy,None
276,6/1/2014,66,61,0.0,1,,95113,Clear,None
277,6/2/2014,63,67,0.0,1,,95113,Clear,None
278,6/3/2014,66,58,0.0,1,,95113,Clear,None
279,6/4/2014,66,65,0.0,1,,95113,Clear,None
280,6/5/2014,68,64,0.0,1,,95113,Clear,None
281,6/6/2014,65,64,0.0,0,,95113,Clear,None
282,6/7/2014,66,66,0.0,1,,95113,Clear,None
283,6/8/2014,75,55,0.0,0,,95113,Clear,None
284,6/9/2014,76,61,0.0,0,,95113,Clear,None
285,6/10/2014,67,70,0.0,0,,95113,Clear,None
286,6/11/2014,68,60,0.0,1,,95113,Clear,None
287,6/12/2014,65,62,0.0,3,,95113,Cloudy,None
288,6/13/2014,66,54,0.0,0,,95113,Clear,None
289,6/14/2014,72,48,0.0,2,,95113,Little Cloudy,None
290,6/15/2014,64,61,0.0,4,,95113,Cloudy,None
291,6/16/2014,62,58,0.0,1,,95113,Clear,None
292,6/17/2014,65,54,0.0,1,,95113,Clear,None
293,6/18/2014,71,43,0.0,0,,95113,Clear,None
294,6/19/2014,66,62,0.0,1,,95113,Clear,None
295,6/20/2014,70,55,0.0,4,,95113,Cloudy,None
296,6/21/2014,63,61,0.0,3,,95113,Cloudy,None
297,6/22/2014,64,62,0.0,1,,95113,Clear,None
298,6/23/2014,66,62,0.0,3,,95113,Cloudy,None
299,6/24/2014,66,57,0.0,1,,95113,Clear,None
300,6/25/2014,66,72,0.0,4,,95113,Cloudy,None
301,6/26/2014,69,64,0.01,4,,95113,Cloudy,None
302,6/27/2014,69,69,0.0,3,,95113,Cloudy,None
303,6/28/2014,68,61,0.0,1,,95113,Clear,None
304,6/29/2014,72,56,0.0,0,,95113,Clear,None
305,6/30/2014,77,54,0.0,4,,95113,Cloudy,None
306,7/1/2014,68,66,0.0,1,,95113,Clear,None
307,7/2/2014,69,64,0.0,2,,95113,Little Cloudy,None
308,7/3/2014,69,68,0.0,0,,95113,Clear,None
309,7/4/2014,69,65,0.0,0,,95113,Clear,None
310,7/5/2014,70,60,0.0,2,,95113,Little Cloudy,None
311,7/6/2014,70,64,0.0,1,,95113,Clear,None
312,7/7/2014,71,66,0.0,4,,95113,Cloudy,None
313,7/8/2014,70,65,0.0,2,,95113,Little Cloudy,None
314,7/9/2014,69,65,0.0,0,,95113,Clear,None
315,7/10/2014,69,66,0.0,1,,95113,Clear,None
316,7/11/2014,68,64,0.0,2,,95113,Little Cloudy,None
317,7/12/2014,66,69,0.0,4,,95113,Cloudy,None
318,7/13/2014,68,69,0.0,5,,95113,Very Cloudy,None
319,7/14/2014,74,63,0.0,3,,95113,Cloudy,None
320,7/15/2014,72,72,0.001,4,,95113,Cloudy,None
321,7/16/2014,73,67,0.0,3,,95113,Cloudy,None
322,7/17/2014,69,67,0.0,1,,95113,Clear,None
323,7/18/2014,69,69,0.0,3,,95113,Cloudy,None
324,7/19/2014,70,67,0.001,5,,95113,Very Cloudy,None
325,7/20/2014,71,71,0.0,5,,95113,Very Cloudy,None
326,7/21/2014,71,63,0.0,3,,95113,Cloudy,None
327,7/22/2014,71,66,0.001,4,Rain,95113,Cloudy,None
328,7/23/2014,69,65,0.0,2,,95113,Little Cloudy,None
329,7/24/2014,72,65,0.0,1,,95113,Clear,None
330,7/25/2014,78,48,0.0,1,,95113,Clear,None
331,7/26/2014,75,59,0.0,2,,95113,Little Cloudy,None
332,7/27/2014,74,62,0.0,3,,95113,Cloudy,None
333,7/28/2014,71,68,0.0,4,,95113,Cloudy,None
334,7/29/2014,73,65,0.0,1,,95113,Clear,None
335,7/30/2014,72,74,0.0,2,,95113,Little Cloudy,None
336,7/31/2014,71,74,0.0,4,,95113,Cloudy,None
337,8/1/2014,71,73,0.0,2,,95113,Little Cloudy,None
338,8/2/2014,68,79,0.0,4,,95113,Cloudy,None
339,8/3/2014,66,75,0.0,6,,95113,Very Cloudy,None
340,8/4/2014,69,66,0.0,5,,95113,Very Cloudy,None
341,8/5/2014,71,67,0.0,5,,95113,Very Cloudy,None
342,8/6/2014,74,65,0.001,4,,95113,Cloudy,None
343,8/7/2014,70,69,0.0,3,,95113,Cloudy,None
344,8/8/2014,69,65,0.0,3,,95113,Cloudy,None
345,8/9/2014,67,70,0.0,2,,95113,Little Cloudy,None
346,8/10/2014,70,62,0.0,5,,95113,Very Cloudy,None
347,8/11/2014,69,68,0.0,1,,95113,Clear,None
348,8/12/2014,69,61,0.0,3,,95113,Cloudy,None
349,8/13/2014,71,63,0.0,3,,95113,Cloudy,None
350,8/14/2014,70,68,0.0,3,,95113,Cloudy,None
351,8/15/2014,69,63,0.0,1,,95113,Clear,None
352,8/16/2014,70,68,0.0,3,,95113,Cloudy,None
353,8/17/2014,68,72,0.0,3,,95113,Cloudy,None
354,8/18/2014,68,72,0.0,4,,95113,Cloudy,None
355,8/19/2014,70,66,0.0,5,,95113,Very Cloudy,None
356,8/20/2014,71,60,0.0,3,,95113,Cloudy,None
357,8/21/2014,70,65,0.0,0,,95113,Clear,None
358,8/22/2014,71,64,0.0,1,,95113,Clear,None
359,8/23/2014,70,63,0.0,3,,95113,Cloudy,None
360,8/24/2014,68,67,0.0,2,,95113,Little Cloudy,None
361,8/25/2014,68,66,0.0,3,,95113,Cloudy,None
362,8/26/2014,67,63,0.0,1,,95113,Clear,None
363,8/27/2014,72,60,0.0,0,,95113,Clear,None
364,8/28/2014,71,66,0.0,2,,95113,Little Cloudy,None
365,8/29/2014,72,65,0.0,6,,95113,Very Cloudy,None
366,8/30/2014,74,62,0.0,1,,95113,Clear,None
367,8/31/2014,70,66,0.0,0,,95113,Clear,None
368,9/1/2014,72,59,0.0,0,,95113,Clear,None
369,9/2/2014,68,72,0.0,0,,95113,Clear,None
370,9/3/2014,69,68,0.0,3,,95113,Cloudy,None
371,9/4/2014,70,65,0.0,4,,95113,Cloudy,None
